"Q1"	"Q2"	"Q3"	"Q4"	"Q5"	"Q6"	"Q7"	"Q8"	"Q9"	"Q10"	"Gender"
"1"	1	1	2	1	1	4	2	3	3	1	1
"2"	2	1	1	1	1	2	1	2	1	2	1
"3"	2	1	1	1	1	4	1	1	1	2	1
"4"	2	1	1	1	1	4	1	1	1	4	1
"5"	2	3	2	1	2	4	1	4	4	1	1
"6"	1	2	1	1	1	2	1	1	1	1	1
"7"	1	2	1	1	2	3	1	1	3	2	1
"8"	2	2	2	1	1	2	1	4	4	2	1
"9"	1	2	1	1	1	2	1	4	3	2	1
"10"	2	1	1	1	2	1	1	1	1	4	1
"11"	3	2	3	2	3	3	2	2	3	3	1
"12"	1	1	2	2	1	4	3	2	2	2	1
"13"	2	1	1	1	1	3	2	1	2	3	1
"14"	4	4	4	4	4	4	3	2	4	4	1
"15"	3	2	1	1	2	3	1	1	1	1	1
"16"	4	4	2	1	1	2	3	3	3	1	1
"17"	2	2	3	4	3	4	3	3	3	4	1
"18"	2	1	2	1	3	3	2	2	3	1	1
"19"	2	2	1	2	3	3	2	1	2	3	1
"20"	2	1	2	2	1	3	2	3	3	4	1
"21"	4	4	4	4	4	4	4	4	3	4	1
"22"	4	3	3	2	3	3	4	4	4	1	1
"23"	1	2	3	2	4	4	4	4	2	4	1
"24"	2	2	2	2	2	2	2	2	2	2	1
"25"	2	3	4	2	3	4	2	2	4	3	1
"26"	4	4	3	1	1	3	1	3	4	3	1
"27"	2	2	2	2	4	4	4	4	1	4	1
"28"	2	2	1	1	3	3	2	2	1	2	1
"29"	1	2	2	1	2	4	2	2	2	1	1
"30"	2	2	2	2	1	3	3	3	3	2	1
"31"	3	3	4	2	3	3	3	3	2	3	1
"32"	2	2	2	3	2	3	2	2	3	2	1
"33"	2	3	2	2	1	4	2	2	2	1	1
"34"	3	4	4	4	4	4	3	4	4	4	1
"35"	3	3	2	2	2	2	2	2	1	3	1
"36"	2	2	2	1	2	3	3	2	2	2	1
"37"	3	2	4	2	3	4	1	2	3	4	1
"38"	1	1	2	2	1	2	3	2	2	1	1
"39"	4	3	4	4	4	4	2	1	1	4	1
"40"	4	3	3	3	3	4	2	3	2	3	1
"41"	4	1	2	2	3	4	1	1	2	3	1
"42"	1	3	4	3	2	4	4	4	4	3	1
"43"	2	2	2	1	2	2	2	2	2	2	1
"44"	2	1	1	1	2	3	3	3	3	2	1
"45"	1	1	1	2	1	2	1	1	1	1	1
